orgId,user,userId,acct,refreshToken,clientId,groupId,ServiceDefinitionId,password,status
e345df99-cdbd-4b6a-b6c3-cc33ea2fc35c,stg_pune_user4@harakirimail.com,vmwareid:6e235fb3-2c61-4b70-a1b8-502bb77bd076,stg_pune_user4@harakirimail.com,Za0jdJq8WD0i-lLfUuNGlmEt1Rtu9Ynj_8AOdCz31PK0rmYSWhvT4oyI2tP-lslD,MNG6QTTCgHwkoWHnPTsDjj8TNQrViwEgHjc,65c96712-1e80-4c15-bb82-48f7cca12433,YQIuNVm1L4TkJS393ba_NqNt9-g_,Test@123,PASS
e345df99-cdbd-4b6a-b6c3-cc33ea2fc35c,stg_pune_user3@harakirimail.com,vmwareid:8abc1376-424f-4014-99aa-1cfd43226ba4,stg_pune_user3@harakirimail.com,VdLy6GZXAiPl9RWDtCM94SnIl8wPkVarcwlzrlQ4Kg-Zv3kI4IB-xmtyNgGvHWbU,MNG6QTTCgHwkoWHnPTsDjj8TNQrViwEgHjc,65c96712-1e80-4c15-bb82-48f7cca12433,YQIuNVm1L4TkJS393ba_NqNt9-g_,Test@123,PASS
e345df99-cdbd-4b6a-b6c3-cc33ea2fc35c,stg_pune_user6@harakirimail.com,vmwareid:cfb7b238-413a-4ba7-b0f0-a92e18c22ead,stg_pune_user6@harakirimail.com,tqzWp5OEHVQ-XdtNcm-_na2x8-WKzRQuPg9SGmNRL9fVb69QVKKJ6PASbP14MTCY,MNG6QTTCgHwkoWHnPTsDjj8TNQrViwEgHjc,65c96712-1e80-4c15-bb82-48f7cca12433,YQIuNVm1L4TkJS393ba_NqNt9-g_,Test@123,PASS
e345df99-cdbd-4b6a-b6c3-cc33ea2fc35c,stg_pune_user0@harakirimail.com,vmwareid:90b93496-a9bf-49ce-8814-171a8f5be281,stg_pune_user0@harakirimail.com,FVnZeXValmmxxbef407PdDpL1NIgskd7JncbmgCRx-kQ5IT1b8DGaU_JcBoevv5U,MNG6QTTCgHwkoWHnPTsDjj8TNQrViwEgHjc,65c96712-1e80-4c15-bb82-48f7cca12433,YQIuNVm1L4TkJS393ba_NqNt9-g_,Test@123,PASS
1ab87c24-fe9c-4043-84ff-e504d7365248,stg_pune_user22@harakirimail.com,vmwareid:3cb8557b-60c3-46e5-acef-83cca57c247e,stg_pune_user22@harakirimail.com,uVIuKd8jll1ps4cmbCu_7aMpK_ybCekfj3s44eusE3v7KhAt7t8qWWZm6bQJLWMn,PQ15myACnNOtoQGhtZAXtiOIFDLMAlEC7om,ac7cadc3-7e48-411d-a996-565d659d04fa,b05a285c-9685-4fff-b287-3e0fc2385651,Test@123,PASS
e345df99-cdbd-4b6a-b6c3-cc33ea2fc35c,stg_pune_user10@harakirimail.com,vmwareid:f2e6f2fe-4ad4-4728-8d1d-3a230c0b0564,stg_pune_user10@harakirimail.com,mDU1CCmr2PeSW8BjKz22g9NLIBxiaqk4jisEAx3soswF_G1UxL2YSzImFt8SdRMv,MNG6QTTCgHwkoWHnPTsDjj8TNQrViwEgHjc,65c96712-1e80-4c15-bb82-48f7cca12433,YQIuNVm1L4TkJS393ba_NqNt9-g_,Test@123,PASS
1ab87c24-fe9c-4043-84ff-e504d7365248,stg_pune_user24@harakirimail.com,vmwareid:9925d5c5-2b13-4ba8-9d7a-e13f6f76984f,stg_pune_user24@harakirimail.com,3fO1K88kJJnCgReHrEcHy5EprSRDoyUbsHB1SlAdv3IQzSM1qzRNZQK0sLN-imMy,PQ15myACnNOtoQGhtZAXtiOIFDLMAlEC7om,ac7cadc3-7e48-411d-a996-565d659d04fa,b05a285c-9685-4fff-b287-3e0fc2385651,Test@123,PASS
176f04d0-f51f-48c6-b4ca-39e42779a03e,stg_pune_user20@harakirimail.com,vmwareid:2de87ee5-a163-42c0-8850-e7e9f366e4a1,stg_pune_user20@harakirimail.com,_Nn0Ve0GnK20gDSROvKPXut-XAdFih6tMg_xWa_n9Oe-NTQfQJ21_jP66A2xIfvW,Ax4fPLJHe3HiM34uofIg4nPvjZfxHL2rf88,cfd229ec-5740-42da-b4cb-a19b4a514128,c49e3d0a-849e-4c00-aae4-063ae272df3b,Test@123,PASS
e345df99-cdbd-4b6a-b6c3-cc33ea2fc35c,stg_pune_user7@harakirimail.com,vmwareid:86fb484e-40b3-4450-9e54-a3a28df57955,stg_pune_user7@harakirimail.com,3Ja6eOjR5TCZMN4XYdWGELh_OuchxZ26qPGk1uRpvKdKNIahCkn_0rcx25HDoIXO,MNG6QTTCgHwkoWHnPTsDjj8TNQrViwEgHjc,65c96712-1e80-4c15-bb82-48f7cca12433,YQIuNVm1L4TkJS393ba_NqNt9-g_,Test@123,PASS
176f04d0-f51f-48c6-b4ca-39e42779a03e,stg_pune_user11@harakirimail.com,vmwareid:e4e343ac-e4c0-4c25-adaf-baed72f32fd3,stg_pune_user11@harakirimail.com,kLsChBDA9sEy99AAtoNIKHpTVgnHGVqWJRC7DGFGZmbi2GMvPTRi8DByvFdHzMiz,Ax4fPLJHe3HiM34uofIg4nPvjZfxHL2rf88,cfd229ec-5740-42da-b4cb-a19b4a514128,c49e3d0a-849e-4c00-aae4-063ae272df3b,Test@123,PASS
